,our_shape_preds,our_preds_mfes,rnalib_shape_preds,rnalib_preds_mfes,seq_length,num_irs,num_variables,num_constraints,num_solver_iters,num_b_n_b_nodes,solution_time_msecs
820,.........................(((((((.....................(((.............))).....((((((...))))))).......))))))....,-10.87000036239624,...(((.(((...(((..............................................)))...))).)))..(((((((((.....)))......))))))....,-9.4399995803833,110,247,247,4056,1,1,149
821,....((((...))))(((.(((....((((((.)))((()))...)))........(((.((((((..))).)))......)))...................)))))).,-21.279999911785126,((((((((...)))).)..)))...((((((((((.(((......))).))).....(((.((((((((((((((......))))..))).))).)))).)))))))))),-33.29999923706055,110,288,288,5076,54,1,222
822,.((((......((((.(((((((((.....((((.))))......))))....................((((....)))))))))...))))...))))..........,-14.970000207424164,...(((..(((((........)))))..)))...(((((.((.(((.((((((....((((((((...)))))...)))..))))))))).)).)))))...........,-30.799999237060547,110,256,256,4232,60,1,192
823,......(((((.....))))).......((((((........(((((....))))))..................(((...))))))))(((...)))............,-21.270000278949738,......(((((.....)))))(((((((((.((((((.(((...)))))))))))))........))))).....((((...((((...)))).))))............,-27.700000762939453,110,293,293,5253,63,1,222
824,......((((((............((((..))(((.......)))).................)))))))....((((...(((()))).....(((....)))))))..,-16.98999996483326,.((((.((((.(((((..(((..((((((..(.......)..)))))))))..)))).(((.(((.(((((..(((....))).)).)))))).))).).)).)))))).,-27.700000762939453,110,282,282,5046,89,1,247
825,(((........)))...((((((((((.)))((((.)))....))))..(((((.............((((((....))))).))))))................)))).,-17.089999705553055,(((((...)).))).(((..((((((..((((...))))..)))))).)))(.(((..(((.(((((.(........))))))...)))..))))...............,-28.0,110,284,284,5250,57,1,225
826,..(((.......(((((..........(((((.(((()))))..((........))........))).))))........((((.........)))).))))).......,-13.780000001192093,.......((((.((((((((((..((...((((((..(((.((((.....(((.((..((....))..)).)))))))))).)))))).)).))).)))))))))))...,-30.200000762939453,110,299,299,5489,39,1,250
827,..(((((........(((()))))...........((((.((..))))))..................))))....((((...........((((..)))))))).....,-19.17999964952469,..((((..((..((((...((((((..(((((....))).))...))))))...))))..))..)....)))((.((((....))))..))((((......)))).....,-27.200000762939453,110,270,270,4648,90,1,224
828,.((((((((((.........((((........))))..........(((((.........................)))))......((((.)))).))))))))))...,-13.950000047683716,.((((((((((.........((((........))))..........(((((.........................)))))...........)))).)))))).......,-19.5,110,232,232,3671,6,1,137
829,..........((((((((((......)))).............((((...(((((.)))).))..)))..))))))..............((((.........))))...,-8.469999864697456,...((((.......)))).(((...(((..((((............))))..)))..)))..(((((((((((..........)))))))))))................,-20.299999237060547,110,274,274,5026,41,1,214
830,...((((...............(((..)))).)))....................((((..((((((.))))....((......))(((((.....))))).))))))..,-19.53999972343445,..((((....(.(...(((((((((((..((((...))))..........(((..((((((.....))))))..)))......)))).)))))))...).)....)))).,-30.899999618530273,110,259,259,4357,73,1,197
831,.((((....))))......(((((.........))))).........................(((....((((.....))))..........)))..............,-10.000000238418579,.((((....))))....((((..(((((((((....))))))..))).........((((........)))).....(((..((..........))..)))..))))...,-14.199999809265137,110,267,267,4594,38,1,186
832,.........(((((....((((.((((((((((.....)))))......)))))......)))))..(((((.(((........)))))....))).......))))...,-11.769999779760838,((((..(((((((((...((...((((((((((.....)))))......)))))..)).)))))).)))............((((.((((((...)))))))))))))).,-27.700000762939453,110,277,277,4900,32,1,206
833,((((..............((((.))))..((((.)))).......((((............))))((((.)))).....))))...........................,-19.580000162124634,((((..(((((......((((...((((...))))((((.....))))......))))...)))))..)))).((((.(((((...))))).))))..............,-32.20000076293945,110,255,255,4202,77,1,200
